,titulo,preco,quartos,suites,banheiros,vagas,privativos,link,lat,long,numero_rua,bairro,cidade,piscina,gas_central,elevador,salao,academia
322,Apartamento 3 Quartos Centro 155m²,2919000.0,3,3,4,3,155,https://maximoveis.com.br/imovel/8835/apartamento-3-quartos-marechiaro-residencial-centro-itajai/,-26.9098664,-48.6548531,"Rua Lauro Muller, 538",Centro,Itajaí/SC,1,0,1,1,1
323,Apartamento 3 Quartos Centro 155m²,2738000.0,3,3,4,3,155,https://maximoveis.com.br/imovel/8830/apartamento-3-quartos-marechiaro-residencial-centro-itajai/,-26.9098664,-48.6548531,"Rua Lauro Muller, 538",Centro,Itajaí/SC,1,0,1,1,1
324,Apartamento 2 Quartos Vila Operária 146m²,706433.0,2,0,3,1,146,https://maximoveis.com.br/imovel/12915/apartamento-2-quartos-urban-side-vila-operaria-itajai/,-26.914269,-48.67051739999999,"Avenida José Eugênio Muller, 1279",Vila Operária,Itajaí/SC,1,0,1,1,0
327,Apartamento 2 Quartos Itaipava 44m²,220000.0,2,0,1,1,44,https://maximoveis.com.br/imovel/12691/apartamento-2-quartos-luna-bella-itaipava-itajai/,-26.9434091,-48.7474332,"Rua Maria De Souza Gonçalves, 38",Itaipava,Itajaí/SC,1,0,0,1,0
328,Apartamento 3 Quartos Vila Operária 96m²,600000.0,3,1,1,1,96,https://maximoveis.com.br/imovel/4179/apartamento-3-quartos-edificio-residencial-fernanda-e-daniel-vila-operaria-itajai/,-26.9119798,-48.67134179999999,"Rua Carlos Seara, 650",Vila Operária,Itajaí/SC,1,0,1,1,0
329,Apartamento 3 Quartos Fazenda 142m²,2027760.0,3,3,4,2,142,https://maximoveis.com.br/imovel/12769/apartamento-3-quartos-fazenda-garden-fazenda-itajai/,-26.9200291,-48.6532217,"Avenida Sete De Setembro, 1657",Fazenda,Itajaí/SC,1,0,1,1,1
332,Apartamento 3 Quartos Vila Operária 117m²,975734.95,3,3,3,2,117,https://maximoveis.com.br/imovel/12480/apartamento-3-quartos-genesis-residence-vila-operaria-itajai/,-26.9127838,-48.67177119999999,"Rua Carlos Seara, 713",Vila Operária,Itajaí/SC,0,0,1,1,1
334,Apartamento 2 Quartos Praia Brava 56m²,748000.0,2,1,2,2,56,https://maximoveis.com.br/imovel/10717/apartamento-2-quartos-soul-brava-praia-brava-itajai/,-26.95522,-48.644251,"Rua Suécia, 371",Praia Brava,Itajaí/SC,1,1,1,1,1
335,Apartamento 3 Quartos Centro 155m²,2900000.0,3,3,4,3,155,https://maximoveis.com.br/imovel/7884/apartamento-3-quartos-marechiaro-residencial-centro-itajai/,,,"Rua Lauro Muller, 538",Centro,Itajaí/SC,1,0,1,1,1
336,Apartamento 2 Quartos Fazenda 65m²,649292.08,2,1,2,1,65,https://maximoveis.com.br/imovel/12729/apartamento-2-quartos-luminares-residence-fazenda-itajai/,-26.9273027,-48.6546086,"Rua Manoel Bernardo Da Silva, 345",Fazenda,Itajaí/SC,1,0,1,1,1
337,Apartamento 3 Quartos Praia Brava 120m²,1750000.0,3,3,4,2,120,https://maximoveis.com.br/imovel/12428/apartamento-3-quartos-torres-da-brava-praia-brava-itajai/,-26.9441085,-48.6387303,"Avenida Rua Luci Canziani, 200",Praia Brava,Itajaí/SC,1,1,1,1,1
338,Apartamento 2 Quartos Praia Brava 77m²,972146.77,2,1,2,1,77,https://maximoveis.com.br/imovel/12476/apartamento-2-quartos-brava-park-residence-praia-brava-itajai/,-26.9441396,-48.64138639999999,"Rua Laura Dos Santos Laurindo, 101",Praia Brava,Itajaí/SC,1,0,1,1,1
340,Apartamento 3 Quartos Fazenda 91m²,949620.41,3,1,3,2,91,https://maximoveis.com.br/imovel/12731/apartamento-3-quartos-luminares-residence-fazenda-itajai/,-26.9273027,-48.6546086,"Rua Manoel Bernardo Da Silva, 345",Fazenda,Itajaí/SC,1,0,1,1,1
342,Apartamento 3 Quartos Praia Brava 125m²,2350000.0,3,3,4,2,125,https://maximoveis.com.br/imovel/10688/apartamento-3-quartos-residencial-dusseldorf-praia-brava-itajai/,-26.9529509,-48.634561,"Rua Conselheiro Júlio Kumm, 563",Praia Brava,Itajaí/SC,1,0,1,1,0
343,Apartamento 2 Quartos Praia Brava 75m²,1200000.0,2,2,3,1,75,https://maximoveis.com.br/imovel/12328/apartamento-2-quartos-torres-da-brava-praia-brava-itajai/,-26.9441106,-48.6387048,"Avenida Rua Luci Canziani, 200",Praia Brava,Itajaí/SC,1,1,1,1,1
346,Apartamento 1 Quarto Balneário Santa Clara 54m²,712000.0,1,0,1,1,54,https://maximoveis.com.br/imovel/11308/apartamento-1-quarto-manu-bay-balneario-santa-clara-itajai/,-26.9541917,-48.64219689999999,"Rua Aririba, 163",Balneário Santa Clara,Itajaí/SC,1,1,1,1,1
